Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,EER,FAR,FRR,Parameters
Baseline (AudioSpoofNet),87.88%,50.00%,0.00%,0.00%,0.0000,0.5000,N/A (Majority Collapse),100.00%,0.00%,"167,329"
LCNN_LFCC,73.60%,67.56%,40.14%,57.28%,0.4720,0.7522,30.29%,30.48%,30.10%,"244,625"
RawNet2,77.00%,51.56%,25.00%,10.53%,0.1481,0.4994,52.24%,51.85%,52.63%,"660,945"
AASIST,20.67%,50.00%,20.67%,100.00%,0.3425,0.5297,45.69%,46.22%,45.16%,"208,323"
WavLM,79.33%,50.00%,0.00%,0.00%,0.0000,0.3429,66.71%,68.91%,64.52%,"414,274"
BiLSTM_Prosody,20.67%,50.00%,20.67%,100.00%,0.3425,0.4850,51.86%,52.10%,51.61%,"185,474"
